janko:shv:2345,3456,4567,5678,6789,8902,2145,6435,1373,1234
stanislav:p|Grpdlq:35653,6564,4665,4343,6436,42634,3034,4346,3134,0908
marek:nrnrv456:3908,35553,36564,74665,14343,76436,34634,30324,43436,31345
Karol:eo|dw:9308,35253,26564,84665,243143,26436,24634,31034,43146,31346
šifon:sdodflqnd:9083,31553,16564,946625,34343,46436,4634,30434,43446,31347
Peťo:Pruldn:9028,3553,265964,44665,84343,246436,426304,301324,43746,31348
Viktoria:Olhydqfh:90828,33553,56564,64665,24343,664136,46734,314034,41346,31349
Debil:Ilwnr456:9018,43553,66564,846265,324343,66436,46634,30314,43346,23134
Staska:5678:9068,53553,76564,94665,44343,64136,46134,38034,43416,31342
Zuzka:Hqlll:9088,63553,86564,104665,45343,64436,46334,380234,42346,31344
